role_profile_id,created_date,updated_date,created_by,updated_by,role_profile_type_id,user_id
a20d3e1c-d1fb-45a8-b89d-0373f7a29d9d,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,1
0c53b401-def5-4c5e-9981-fc7ec92ac230,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,2
6a91cf5a-6166-4e01-bdda-00953de327a3,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,3
560cea0d-a266-4c40-b7d1-1688db8d86b8,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,4
1cd44b01-06ce-44dc-ad12-27bf24bc3b2e,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,5
746c01a7-a1cb-4fa4-856d-1d1bf48e13b8,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,7
7ba0730f-c29c-45c8-a56a-cda9c159bbdf,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,10
c86c89f9-afe0-4b63-a3e7-58dfee1e4801,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,12
50a4b37a-53a9-4a3a-a128-af3be3bdb3ac,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,13
0f50d10e-e609-49f5-9f41-4999792192da,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,14
9ee56d96-5557-489a-97f5-4feb7fe0fc1b,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,15
d068c6cb-59e6-4813-9a2a-2a74e8bb561d,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,17
fab38428-17bc-455f-9ed8-e347835bbb59,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,18
f3e0fc52-601e-44cf-8d2e-0be2ed338f2d,2023-04-15T20:25:21.425+0000,2023-04-15T20:25:21.425+0000,admin,admin,1,22
